#datumDate,datumId,datumValue
2023-01-31,FXFWD/RATE/EUR/USD/1W,5.6300000000
2023-01-31,FXFWD/RATE/EUR/USD/1Y,204.5200000000
2023-01-31,FXFWD/RATE/EUR/USD/21M,286.5000000000
2023-01-31,FXFWD/RATE/EUR/USD/2M,42.7850000000
2023-01-31,FXFWD/RATE/EUR/USD/2W,10.3900000000
2023-01-31,FXFWD/RATE/EUR/USD/3M,60.8800000000
2023-01-31,FXFWD/RATE/EUR/USD/3W,15.1600000000
2023-01-31,FXFWD/RATE/EUR/USD/4M,78.6000000000
2023-01-31,FXFWD/RATE/EUR/USD/5M,96.7550000000
2023-01-31,FXFWD/RATE/EUR/USD/6M,112.2000000000
2023-01-31,FXFWD/RATE/EUR/USD/7M,126.9950000000
2023-01-31,FXFWD/RATE/EUR/USD/8M,143.3200000000
2023-01-31,FXFWD/RATE/EUR/USD/9M,157.2500000000
2023-01-31,FXFWD/RATE/EUR/USD/ON,0.7200000000
2023-01-31,FXFWD/RATE/EUR/USD/SN,0.7305000000
2023-01-31,FXFWD/RATE/EUR/USD/TN,0.7310000000
2023-01-31,FX_OPTION/RATE_LNVOL/EUR/USD/10Y/25BF,0.0046500000
2023-01-31,FX_OPTION/RATE_LNVOL/EUR/USD/10Y/25RR,-0.0062200000
2023-01-31,FX_OPTION/RATE_LNVOL/EUR/USD/10Y/ATM,0.1041300000
2023-01-31,FX_OPTION/RATE_LNVOL/EUR/USD/1D/25BF,0.0019500000
2023-01-31,FX_OPTION/RATE_LNVOL/EUR/USD/1D/25RR,-0.0012500000
2023-01-31,FX_OPTION/RATE_LNVOL/EUR/USD/1D/ATM,0.0908000000
2023-01-31,FX_OPTION/RATE_LNVOL/EUR/USD/1M/25BF,0.0016500000
2023-01-31,FX_OPTION/RATE_LNVOL/EUR/USD/1M/25RR,-0.0055300000
2023-01-31,FX_OPTION/RATE_LNVOL/EUR/USD/1M/ATM,0.0850000000
2023-01-31,FX_OPTION/RATE_LNVOL/EUR/USD/1W/25BF,0.0012300000
