#datumDate,datumId,datumValue
2016-02-05,COMMODITY_FWD/PRICE/WTI/USD/2020-08-31,48.6300000000
2016-02-05,COMMODITY_FWD/PRICE/WTI/USD/2020-09-30,48.7100000000
2016-02-05,COMMODITY_FWD/PRICE/WTI/USD/2020-10-31,48.8200000000
2016-02-05,COMMODITY_FWD/PRICE/WTI/USD/2020-11-30,48.9500000000
2016-02-05,COMMODITY_FWD/PRICE/WTI/USD/2020-12-31,49.1000000000
2016-02-05,COMMODITY_FWD/PRICE/WTI/USD/2021-01-31,49.1300000000
2016-02-05,COMMODITY_FWD/PRICE/WTI/USD/2021-02-28,49.1800000000
2016-02-05,COMMODITY_FWD/PRICE/WTI/USD/2021-03-31,49.2500000000
2016-02-05,COMMODITY_FWD/PRICE/WTI/USD/2021-04-30,49.3400000000
2016-02-05,COMMODITY_FWD/PRICE/WTI/USD/2021-05-31,49.4400000000
2016-02-05,COMMODITY_FWD/PRICE/WTI/USD/2021-06-30,49.5700000000
2016-02-05,COMMODITY_FWD/PRICE/WTI/USD/2021-07-31,49.5700000000
2016-02-05,COMMODITY_FWD/PRICE/WTI/USD/2021-08-31,49.6000000000
2016-02-05,COMMODITY_FWD/PRICE/WTI/USD/2021-09-30,49.6600000000
2016-02-05,COMMODITY_FWD/PRICE/WTI/USD/2021-10-31,49.7500000000
2016-02-05,COMMODITY_FWD/PRICE/WTI/USD/2021-11-30,49.8700000000
2016-02-05,COMMODITY_FWD/PRICE/WTI/USD/2021-12-31,50.0100000000
2016-02-05,COMMODITY_FWD/PRICE/WTI/USD/2022-06-30,50.4200000000
2016-02-05,COMMODITY_FWD/PRICE/WTI/USD/2022-12-31,50.8100000000
2016-02-05,COMMODITY_FWD/PRICE/WTI/USD/2023-06-30,51.1300000000
2016-02-05,COMMODITY_FWD/PRICE/WTI/USD/2023-12-31,51.4500000000
2016-02-05,COMMODITY_FWD/PRICE/WTI/USD/2024-06-30,51.6200000000
2016-02-05,COMMODITY_FWD/PRICE/WTI/USD/2024-12-31,51.7800000000
2016-02-05,COMMODITY_OPTION/RATE_LNVOL/WTI_USD_VOLS/USD/10Y/30.0,0.0800000000
2016-02-05,COMMODITY_OPTION/RATE_LNVOL/WTI_USD_VOLS/USD/10Y/35.0,0.0850000000
2016-02-05,COMMODITY_OPTION/RATE_LNVOL/WTI_USD_VOLS/USD/10Y/40.0,0.0900000000
2016-02-05,COMMODITY_OPTION/RATE_LNVOL/WTI_USD_VOLS/USD/10Y/45.0,0.0950000000
2016-02-05,COMMODITY_OPTION/RATE_LNVOL/WTI_USD_VOLS/USD/10Y/50.0,0.1000000000
2016-02-05,COMMODITY_OPTION/RATE_LNVOL/WTI_USD_VOLS/USD/10Y/55.0,0.1050000000
2016-02-05,COMMODITY_OPTION/RATE_LNVOL/WTI_USD_VOLS/USD/10Y/60.0,0.1100000000
2016-02-05,COMMODITY_OPTION/RATE_LNVOL/WTI_USD_VOLS/USD/1Y/30.0,0.1000000000
2016-02-05,COMMODITY_OPTION/RATE_LNVOL/WTI_USD_VOLS/USD/1Y/35.0,0.1050000000
2016-02-05,COMMODITY_OPTION/RATE_LNVOL/WTI_USD_VOLS/USD/1Y/40.0,0.1100000000
2016-02-05,COMMODITY_OPTION/RATE_LNVOL/WTI_USD_VOLS/USD/1Y/45.0,0.1150000000
2016-02-05,COMMODITY_OPTION/RATE_LNVOL/WTI_USD_VOLS/USD/1Y/50.0,0.1200000000
2016-02-05,COMMODITY_OPTION/RATE_LNVOL/WTI_USD_VOLS/USD/1Y/55.0,0.1250000000
2016-02-05,COMMODITY_OPTION/RATE_LNVOL/WTI_USD_VOLS/USD/1Y/60.0,0.1300000000
2016-02-05,COMMODITY_OPTION/RATE_LNVOL/WTI_USD_VOLS/USD/5Y/30.0,0.0900000000
2016-02-05,COMMODITY_OPTION/RATE_LNVOL/WTI_USD_VOLS/USD/5Y/35.0,0.0950000000
2016-02-05,COMMODITY_OPTION/RATE_LNVOL/WTI_USD_VOLS/USD/5Y/40.0,0.1000000000
2016-02-05,COMMODITY_OPTION/RATE_LNVOL/WTI_USD_VOLS/USD/5Y/45.0,0.1050000000
2016-02-05,COMMODITY_OPTION/RATE_LNVOL/WTI_USD_VOLS/USD/5Y/50.0,0.1100000000
2016-02-05,COMMODITY_OPTION/RATE_LNVOL/WTI_USD_VOLS/USD/5Y/55.0,0.1150000000
2016-02-05,COMMODITY_OPTION/RATE_LNVOL/WTI_USD_VOLS/USD/5Y/60.0,0.1200000000
2016-02-05,EQUITY/PRICE/SP5/USD,2147.5600000000
2016-02-05,EQUITY_DIVIDEND/RATE/SP5/USD/1Y,0.0170000000
2016-02-05,EQUITY_DIVIDEND/RATE/SP5/USD/20160915,0.0150000000
2016-02-05,EQUITY_DIVIDEND/RATE/SP5/USD/20170915,0.0200000000
2016-02-05,EQUITY_DIVIDEND/RATE/SP5/USD/3M,0.0100000000
2016-02-05,EQUITY_OPTION/RATE_LNVOL/SP5/USD/10Y/ATMF,0.1981000000
2016-02-05,EQUITY_OPTION/RATE_LNVOL/SP5/USD/5Y/ATMF,0.1707000000
2016-02-05,EQUITY_OPTION/RATE_LNVOL/SP5/USD/6M/ATMF,0.2500000000
2016-02-05,FRA/RATE/EUR/1M/3M,-0.0012430000
2016-02-05,FRA/RATE/EUR/1Y/3M,-0.0021020000
2016-02-05,FRA/RATE/EUR/2M/3M,-0.0015810000
2016-02-05,FRA/RATE/EUR/3M/3M,-0.0017470000
2016-02-05,FRA/RATE/EUR/4M/3M,-0.0019310000
2016-02-05,FRA/RATE/EUR/5M/3M,-0.0020170000
2016-02-05,FRA/RATE/EUR/6M/3M,-0.0019320000
2016-02-05,FRA/RATE/EUR/9M/3M,-0.0022370000
2016-02-05,FX/RATE/EUR/USD,1.1323370000
2016-02-05,FX_OPTION/RATE_LNVOL/EUR/USD/10Y/ATM,0.1362800000
2016-02-05,FX_OPTION/RATE_LNVOL/EUR/USD/1M/ATM,0.1216990000
2016-02-05,FX_OPTION/RATE_LNVOL/EUR/USD/1Y/ATM,0.1208250000
2016-02-05,FX_OPTION/RATE_LNVOL/EUR/USD/2Y/ATM,0.1204650000
2016-02-05,FX_OPTION/RATE_LNVOL/EUR/USD/3M/ATM,0.1155890000
2016-02-05,FX_OPTION/RATE_LNVOL/EUR/USD/3Y/ATM,0.1229930000
2016-02-05,FX_OPTION/RATE_LNVOL/EUR/USD/6M/ATM,0.1219820000
2016-02-05,IR_SWAP/RATE/EUR/2D/1D/10M,-0.0031130000
2016-02-05,IR_SWAP/RATE/EUR/2D/1D/10Y,0.0038850000
2016-02-05,IR_SWAP/RATE/EUR/2D/1D/11M,-0.0031420000
2016-02-05,IR_SWAP/RATE/EUR/2D/1D/12Y,0.0055340000
2016-02-05,IR_SWAP/RATE/EUR/2D/1D/15Y,0.0073640000
2016-02-05,IR_SWAP/RATE/EUR/2D/1D/1M,-0.0018100000
2016-02-05,IR_SWAP/RATE/EUR/2D/1D/1W,-0.0011700000
2016-02-05,IR_SWAP/RATE/EUR/2D/1D/1Y,-0.0031340000
2016-02-05,IR_SWAP/RATE/EUR/2D/1D/1Y3M,-0.0033150000
2016-02-05,IR_SWAP/RATE/EUR/2D/1D/1Y6M,-0.0033270000
2016-02-05,IR_SWAP/RATE/EUR/2D/1D/1Y9M,-0.0033560000
2016-02-05,IR_SWAP/RATE/EUR/2D/1D/20Y,0.0088990000
2016-02-05,IR_SWAP/RATE/EUR/2D/1D/25Y,0.0094180000
2016-02-05,IR_SWAP/RATE/EUR/2D/1D/2M,-0.0020860000
2016-02-05,IR_SWAP/RATE/EUR/2D/1D/2W,-0.0012480000
2016-02-05,IR_SWAP/RATE/EUR/2D/1D/2Y,-0.0034650000
2016-02-05,IR_SWAP/RATE/EUR/2D/1D/30Y,0.0096920000
2016-02-05,IR_SWAP/RATE/EUR/2D/1D/3M,-0.0023430000
2016-02-05,IR_SWAP/RATE/EUR/2D/1D/3Y,-0.0030950000
2016-02-05,IR_SWAP/RATE/EUR/2D/1D/4M,-0.0024560000
2016-02-05,IR_SWAP/RATE/EUR/2D/1D/4Y,-0.0024820000
2016-02-05,IR_SWAP/RATE/EUR/2D/1D/5M,-0.0026930000
2016-02-05,IR_SWAP/RATE/EUR/2D/1D/5Y,-0.0017450000
2016-02-05,IR_SWAP/RATE/EUR/2D/1D/6M,-0.0025790000
2016-02-05,IR_SWAP/RATE/EUR/2D/1D/6Y,-0.0006630000
2016-02-05,IR_SWAP/RATE/EUR/2D/1D/7M,-0.0027990000
2016-02-05,IR_SWAP/RATE/EUR/2D/1D/7Y,0.0005060000
2016-02-05,IR_SWAP/RATE/EUR/2D/1D/8M,-0.0028350000
2016-02-05,IR_SWAP/RATE/EUR/2D/1D/8Y,0.0016680000
2016-02-05,IR_SWAP/RATE/EUR/2D/1D/9M,-0.0030600000
2016-02-05,IR_SWAP/RATE/EUR/2D/1D/9Y,0.0027920000
2016-02-05,IR_SWAP/RATE/EUR/2D/3M/10Y,0.0056940000
2016-02-05,IR_SWAP/RATE/EUR/2D/3M/12Y,0.0073920000
