#TradeId,NettingSetId,Factor,Up/Down,Base NPV,ShiftSize_1,ShiftSize_2,Scenario NPV,Difference
CVA,CPTY_A,DiscountCurve/USD/0/1Y,Up,77764.00,0.000100,#N/A,77757.31,-6.69
CVA,CPTY_A,DiscountCurve/USD/1/5Y,Up,77764.00,0.000100,#N/A,77758.46,-5.53
CVA,CPTY_A,FXSpot/EURUSD/0/spot,Up,77764.00,0.011323,#N/A,76990.22,-773.78
CVA,CPTY_A,DividendYield/SP5/2/2Y,Up,77764.00,0.000001,#N/A,77762.97,-1.03
CVA,CPTY_A,SurvivalProbability/BANK/1/1Y,Up,77764.00,0.000100,#N/A,77745.29,-18.71
CVA,CPTY_A,SurvivalProbability/BANK/2/5Y,Up,77764.00,0.000100,#N/A,78222.98,458.99
CVA,CPTY_A,CommodityCurve/COMDTY_WTI_USD/0/1Y,Up,77764.00,0.408686,#N/A,78268.94,504.94
