#CounterpartyId,NettingSetId,EAD,PFE,V_C,RC,V,AddOn
CPTY_A,total,1913795.62,0.00,1366996.87,1366996.87,1366996.87,0.00
CPTY_A,CPTY_A,1913795.62,0.00,1366996.87,1366996.87,1366996.87,0.00
