#TradeId,TradeType,NumberOfPricings,CumulativeTiming,AverageTiming
ComFwd_WTI_QuantoEUR_5Y,ScriptedTrade,1,0,0
EqCall_SP5_FD,ScriptedTrade,1,10000,10000
