#TradeId,Type,CashflowNo,LegNo,PayDate,FlowType,Amount,Currency,Coupon,Accrual,AccrualStartDate,AccrualEndDate,AccruedAmount,fixingDate,fixingValue,Notional,DiscountFactor,PresentValue,FXRate(Local-Base),PresentValue(Base),BaseCurrency,FloorStrike,CapStrike,FloorVolatility,CapVolatility,EffectiveFloorVolatility,EffectiveCapVolatility
ComAsian_GOLD_Monthly_Long_USD,ScriptedTrade,1,1,2024-12-31,OptionFlow,1532193.2907,USD,#N/A,#N/A,#N/A,#N/A,#N/A,2024-12-31,#N/A,#N/A,0.8913588154,1365733.9965354123,0.8831843425,1206194.8817655437,EUR,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
ComAsian_WTI_Monthly_EUR,ScriptedTrade,1,1,2018-02-05,OptionFlow,1204.9925,EUR,#N/A,#N/A,#N/A,#N/A,#N/A,2018-02-05,#N/A,#N/A,1.0070458091,1213.4826336670,1.0000000000,1213.4826336670,EUR,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
ComAsian_WTI_Monthly_Long_EUR,ScriptedTrade,1,1,2024-12-31,OptionFlow,54323.5290,EUR,#N/A,#N/A,#N/A,#N/A,#N/A,2024-12-31,#N/A,#N/A,0.9758154427,53009.7384512272,1.0000000000,53009.7384512272,EUR,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
ComBarrier_WTI_UpIn_EUR,ScriptedTrade,1,1,2018-02-05,OptionFlow,2702.6622,EUR,#N/A,#N/A,#N/A,#N/A,#N/A,2018-02-05,#N/A,#N/A,1.0070458091,2721.7045949263,1.0000000000,2721.7045949263,EUR,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
ComDigital_WTI_Call_EUR,ScriptedTrade,1,1,2018-02-05,OptionFlow,57970.2607,EUR,#N/A,#N/A,#N/A,#N/A,#N/A,2018-02-05,#N/A,#N/A,1.0070458091,58378.7080809220,1.0000000000,58378.7080809220,EUR,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
EqBarrier_UO_SP5,ScriptedTrade,1,1,2018-02-05,OptionFlow,27274.0188,USD,#N/A,#N/A,#N/A,#N/A,#N/A,2018-02-05,#N/A,#N/A,0.9870589176,26921.0634360783,0.8831843425,23776.2617103024,EUR,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
EqCall_SP5,ScriptedTrade,1,1,2018-02-05,OptionFlow,4981633.5099,USD,#N/A,#N/A,#N/A,#N/A,#N/A,2018-02-05,#N/A,#N/A,0.9870589176,4917165.7801894499,0.8831843425,4342763.8265599879,EUR,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
EqDigital_SP5,ScriptedTrade,1,1,2018-02-05,OptionFlow,18692.6448,USD,#N/A,#N/A,#N/A,#N/A,#N/A,2018-02-05,#N/A,#N/A,0.9870589176,18450.7417927629,0.8831843425,16295.4062589531,EUR,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
EqPut_SP5,ScriptedTrade,1,1,2018-02-05,OptionFlow,-2931656.5054,USD,#N/A,#N/A,#N/A,#N/A,#N/A,2018-02-05,#N/A,#N/A,0.9870589176,-2893717.6970520937,0.8831843425,-2555686.1616632598,EUR,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
