# asof       : 2016-02-05
# numIds     : 1
# numDates   : 81
# samples    : 100
# depth      : 1
# usesDblPrc : false
# dates      : 
# 2016-05-06
# 2016-08-05
# 2016-11-07
# 2017-02-06
# 2017-05-05
# 2017-08-07
# 2017-11-06
# 2018-02-05
# 2018-05-08
# 2018-08-06
# 2018-11-05
# 2019-02-05
# 2019-05-07
# 2019-08-05
# 2019-11-05
# 2020-02-05
# 2020-05-05
# 2020-08-05
# 2020-11-05
# 2021-02-05
# 2021-05-05
# 2021-08-05
# 2021-11-05
# 2022-02-07
# 2022-05-05
# 2022-08-05
# 2022-11-07
# 2023-02-06
# 2023-05-05
# 2023-08-07
# 2023-11-06
# 2024-02-05
# 2024-05-07
# 2024-08-05
# 2024-11-05
# 2025-02-05
# 2025-05-06
# 2025-08-05
# 2025-11-05
# 2026-02-05
# 2026-05-05
# 2026-08-05
# 2026-11-05
# 2027-02-05
# 2027-05-05
# 2027-08-05
# 2027-11-05
# 2028-02-07
# 2028-05-05
# 2028-08-07
# 2028-11-06
# 2029-02-05
# 2029-05-08
# 2029-08-06
# 2029-11-05
# 2030-02-05
# 2030-05-07
# 2030-08-05
# 2030-11-05
# 2031-02-05
# 2031-05-06
# 2031-08-05
# 2031-11-05
# 2032-02-05
# 2032-05-05
# 2032-08-05
# 2032-11-05
# 2033-02-07
# 2033-05-05
# 2033-08-05
# 2033-11-07
# 2034-02-06
# 2034-05-05
# 2034-08-07
# 2034-11-06
# 2035-02-05
# 2035-05-08
# 2035-08-06
# 2035-11-05
# 2036-02-05
# 2036-05-06
# ids        : 
# Swap_20y
# scenGenDta : <Simulation><Parameters><Calendar>JoinHolidays(TARGET, US settlement, UK settlement, Switzerland)</Calendar><DayCounter>Actual/Actual (ISDA)</DayCounter><Grid>81,3M</Grid><Sequence>SobolBrownianBridge</Sequence><Seed>42</Seed><Samples>100</Samples><Ordering>Steps</Ordering><DirectionIntegers>JoeKuoD7</DirectionIntegers><MporMode>ActualDate</MporMode></Parameters></Simulation>
# storeFlows : false
# storeCrSt  : 0
#id,date,sample,depth,value
0,0,0,0,1608754.88
0,1,0,0,1584054
0,1,1,0,1249027.5
0,1,2,0,1930114.25
0,1,3,0,2361324.5
0,1,4,0,919270.688
0,1,5,0,1737885.25
0,1,6,0,1370420.75
0,1,7,0,1166076.75
0,1,8,0,2832389.75
0,1,9,0,1947960.5
0,1,10,0,1402917
0,1,11,0,1711906.38
0,1,12,0,1999965.12
0,1,13,0,668728.438
0,1,14,0,1090645.12
0,1,15,0,2493461.25
0,1,16,0,635372.375
0,1,17,0,450192
0,1,18,0,1590758.25
0,1,19,0,2539597.25
0,1,20,0,1663720.88
0,1,21,0,1485500.62
0,1,22,0,1331098.12
0,1,23,0,781256.188
0,1,24,0,3032389.25
0,1,25,0,993021
0,1,26,0,307496.469
0,1,27,0,1684595.75
0,1,28,0,2976462.5
0,1,29,0,1478156.62
0,1,30,0,2439898.25
0,1,31,0,2326529.5
0,1,32,0,1795158.38
0,1,33,0,889949.688
0,1,34,0,1845605.62
0,1,35,0,1636696.88
0,1,36,0,1101742.38
0,1,37,0,622557.5
0,1,38,0,2447645.75
0,1,39,0,1661026.88
0,1,40,0,1520211.12
0,1,41,0,2480565
0,1,42,0,1022467
0,1,43,0,2234382.5
0,1,44,0,2052604.62
0,1,45,0,2063969.38
0,1,46,0,281490.531
0,1,47,0,1357424.88
0,1,48,0,1439875.88
0,1,49,0,403452.5
0,1,50,0,2496005
0,1,51,0,1951670.25
0,1,52,0,1580439.38
0,1,53,0,198795.047
0,1,54,0,2333476.25
0,1,55,0,1763286.75
0,1,56,0,1719031.5
0,1,57,0,1807247.88
0,1,58,0,1045379.56
0,1,59,0,1548503.75
0,1,60,0,2070947.25
0,1,61,0,2338614.75
0,1,62,0,1284507.62
0,1,63,0,1356377
0,1,64,0,842504.188
0,1,65,0,2478591
0,1,66,0,1440830.88
0,1,67,0,1478904.25
0,1,68,0,2093855
0,1,69,0,2318418.5
0,1,70,0,1280361.5
0,1,71,0,1544761.5
0,1,72,0,1542208
0,1,73,0,586077.125
0,1,74,0,2627971
0,1,75,0,1732528.25
0,1,76,0,965484.938
0,1,77,0,558513.5
0,1,78,0,2969550.5
0,1,79,0,2017982.5
0,1,80,0,1653352.12
0,1,81,0,2210288.25
0,1,82,0,718438.688
0,1,83,0,1325392.12
0,1,84,0,1199880.38
0,1,85,0,3168666.25
0,1,86,0,838311
0,1,87,0,1290849.5
0,1,88,0,625293.062
0,1,89,0,1568460
0,1,90,0,2556559
0,1,91,0,1757344.12
0,1,92,0,1165229.5
0,1,93,0,474677.969
0,1,94,0,1968933.38
0,1,95,0,421334.719
0,1,96,0,2596170.75
0,1,97,0,2314492.5
0,1,98,0,1984094
0,1,99,0,341558.188
0,2,0,0,1557586.88
0,2,1,0,1622436.75
0,2,2,0,1493305.75
0,2,3,0,1781121.5
0,2,4,0,604130.312
0,2,5,0,3233789.75
0,2,6,0,817331.062
0,2,7,0,913208.125
0,2,8,0,2224305.25
0,2,9,0,1729767.38
0,2,10,0,2181760.75
0,2,11,0,2368852
0,2,12,0,1395911.12
0,2,13,0,-296905.375
0,2,14,0,2256904.75
0,2,15,0,2189144
0,2,16,0,151065.953
0,2,17,0,674335.312
0,2,18,0,1316257
0,2,19,0,1332068.12
0,2,20,0,1801247
0,2,21,0,2228421.25
0,2,22,0,488694.688
0,2,23,0,596290.312
0,2,24,0,3545392
0,2,25,0,357062.156
0,2,26,0,929179.562
0,2,27,0,2021793.62
0,2,28,0,2753430.75
0,2,29,0,932778.875
0,2,30,0,4669820
0,2,31,0,1629311.12
0,2,32,0,2294784
0,2,33,0,1321568.62
0,2,34,0,1673811.5
0,2,35,0,897443.312
0,2,36,0,1272870.38
0,2,37,0,1926505.25
0,2,38,0,3272846
0,2,39,0,1839725.5
0,2,40,0,-206915.422
0,2,41,0,2727071.25
0,2,42,0,1329711.38
0,2,43,0,3434158.5
0,2,44,0,1429689.38
0,2,45,0,2288704.25
0,2,46,0,433998.312
0,2,47,0,294740.875
0,2,48,0,1856569.12
0,2,49,0,939047.625
0,2,50,0,3275069.75
0,2,51,0,762144.5
0,2,52,0,1766659
0,2,53,0,-165461.125
0,2,54,0,2537627.5
