#NettingSetId,TradeId,IsPar,Factor_1,ShiftSize_1,Factor_2,ShiftSize_2,Currency,Base XVA,Delta,Gamma
CPTY_A,ComFwd_WTI_QuantoEUR_5Y,true,DiscountCurve/EUR/0/1Y,0.000100,,0.000000,EUR,514.7651,0.0003,#N/A
CPTY_A,ComFwd_WTI_QuantoEUR_5Y,true,DiscountCurve/EUR/1/5Y,0.000100,,0.000000,EUR,514.7651,-0.0006,#N/A
CPTY_A,ComFwd_WTI_QuantoEUR_5Y,true,DiscountCurve/USD/0/1Y,0.000100,,0.000000,EUR,514.7651,0.0021,#N/A
CPTY_A,ComFwd_WTI_QuantoEUR_5Y,true,DiscountCurve/USD/1/5Y,0.000100,,0.000000,EUR,514.7651,-0.2678,#N/A
CPTY_A,ComFwd_WTI_QuantoEUR_5Y,true,FXSpot/EURUSD/0/spot,0.011323,,0.000000,EUR,514.7651,-5.0967,#N/A
CPTY_A,ComFwd_WTI_QuantoEUR_5Y,true,FXSpot/USDEUR/0/spot,0.008831,,0.000000,EUR,514.7651,5.1477,#N/A
CPTY_A,ComFwd_WTI_QuantoEUR_5Y,true,SurvivalProbability/CPTY_A/0/1Y,0.000000,,0.000000,EUR,514.7651,-2.0921,#N/A
CPTY_A,ComFwd_WTI_QuantoEUR_5Y,true,SurvivalProbability/CPTY_A/1/5Y,0.000100,,0.000000,EUR,514.7651,10.4753,#N/A
CPTY_A,ComFwd_WTI_QuantoEUR_5Y,true,CommodityCurve/COMDTY_WTI_USD/0/1Y,0.000000,,0.000000,EUR,514.7651,101.3912,#N/A
CPTY_A,ComFwd_WTI_QuantoEUR_5Y,true,CommodityVolatility/COMDTY_WTI_USD/3/1Y/ATM,0.001109,,0.000000,EUR,514.7651,4.9481,#N/A
CPTY_A,ComFwd_WTI_QuantoEUR_5Y,true,CommodityVolatility/COMDTY_WTI_USD/4/5Y/ATM,0.001092,,0.000000,EUR,514.7651,0.8558,#N/A
CPTY_A,ComFwd_WTI_QuantoEUR_5Y,true,CommodityVolatility/COMDTY_WTI_USD/5/10Y/ATM,0.001022,,0.000000,EUR,514.7651,0.1819,#N/A
CPTY_A,EqCall_SP5_FD,true,DiscountCurve/EUR/0/1Y,0.000100,,0.000000,EUR,13608.3356,0.8841,#N/A
CPTY_A,EqCall_SP5_FD,true,DiscountCurve/EUR/1/5Y,0.000100,,0.000000,EUR,13608.3356,4.3469,#N/A
CPTY_A,EqCall_SP5_FD,true,DiscountCurve/USD/0/1Y,0.000100,,0.000000,EUR,13608.3356,-1.1032,#N/A
CPTY_A,EqCall_SP5_FD,true,DiscountCurve/USD/1/5Y,0.000100,,0.000000,EUR,13608.3356,-1.8112,#N/A
CPTY_A,EqCall_SP5_FD,true,FXSpot/EURUSD/0/spot,0.011323,,0.000000,EUR,13608.3356,-134.7359,#N/A
CPTY_A,EqCall_SP5_FD,true,FXSpot/USDEUR/0/spot,0.008831,,0.000000,EUR,13608.3356,136.0835,#N/A
CPTY_A,EqCall_SP5_FD,true,EquitySpot/SP5/0/spot,21.475600,,0.000000,EUR,13608.3356,814.3914,#N/A
CPTY_A,EqCall_SP5_FD,true,EquityVolatility/SP5/0/6M/ATM,0.002500,,0.000000,EUR,13608.3356,112.9084,#N/A
CPTY_A,EqCall_SP5_FD,true,EquityVolatility/SP5/1/5Y/ATM,0.001707,,0.000000,EUR,13608.3356,67.8221,#N/A
CPTY_A,EqCall_SP5_FD,true,EquityVolatility/SP5/2/10Y/ATM,0.001981,,0.000000,EUR,13608.3356,10.9889,#N/A
CPTY_A,EqCall_SP5_FD,true,SurvivalProbability/CPTY_A/0/1Y,0.000000,,0.000000,EUR,13608.3356,90.7355,#N/A
CPTY_A,EqCall_SP5_FD,true,SurvivalProbability/CPTY_A/1/5Y,0.000100,,0.000000,EUR,13608.3356,136.7641,#N/A
CPTY_A,,true,DiscountCurve/EUR/0/1Y,0.000100,,0.000000,EUR,13961.0714,0.8879,#N/A
