#TradeId,Type,CashflowNo,LegNo,PayDate,FlowType,Amount,Currency,Coupon,Accrual,AccrualStartDate,AccrualEndDate,AccruedAmount,fixingDate,fixingValue,Notional,DiscountFactor,PresentValue,FXRate(Local-Base),PresentValue(Base),BaseCurrency,FloorStrike,CapStrike,FloorVolatility,CapVolatility,EffectiveFloorVolatility,EffectiveCapVolatility
ComAsian_GOLD_Monthly_Long_USD,ScriptedTrade,1,1,2024-12-31,OptionFlow,1115031.8610,USD,#N/A,#N/A,#N/A,#N/A,#N/A,2024-12-31,#N/A,#N/A,0.8913588154,993893.4787233990,0.8831843425,877791.1585253789,EUR,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
ComAsian_WTI_Monthly_EUR,ScriptedTrade,1,1,2018-02-05,OptionFlow,0.0000,EUR,#N/A,#N/A,#N/A,#N/A,#N/A,2018-02-05,#N/A,#N/A,1.0070458091,0.0000000000,1.0000000000,0.0000000000,EUR,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
ComAsian_WTI_Monthly_Long_EUR,ScriptedTrade,1,1,2024-12-31,OptionFlow,808.2433,EUR,#N/A,#N/A,#N/A,#N/A,#N/A,2024-12-31,#N/A,#N/A,0.9758154427,788.6963373664,1.0000000000,788.6963373664,EUR,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
ComBarrier_WTI_UpIn_EUR,ScriptedTrade,1,1,2018-02-05,OptionFlow,1.8912,EUR,#N/A,#N/A,#N/A,#N/A,#N/A,2018-02-05,#N/A,#N/A,1.0070458091,1.9045387287,1.0000000000,1.9045387287,EUR,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
ComDigital_WTI_Call_EUR,ScriptedTrade,1,1,2018-02-05,OptionFlow,183.9242,EUR,#N/A,#N/A,#N/A,#N/A,#N/A,2018-02-05,#N/A,#N/A,1.0070458091,185.2201046365,1.0000000000,185.2201046365,EUR,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
EqBarrier_UO_SP5,ScriptedTrade,1,1,2018-02-05,OptionFlow,28626.3939,USD,#N/A,#N/A,#N/A,#N/A,#N/A,2018-02-05,#N/A,#N/A,0.9870589176,28255.9373520238,0.8831843425,24955.2014520825,EUR,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
EqCall_SP5,ScriptedTrade,1,1,2018-02-05,OptionFlow,4981302.0239,USD,#N/A,#N/A,#N/A,#N/A,#N/A,2018-02-05,#N/A,#N/A,0.9870589176,4916838.5839843545,0.8831843425,4342474.8519947203,EUR,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
EqDigital_SP5,ScriptedTrade,1,1,2018-02-05,OptionFlow,18698.8846,USD,#N/A,#N/A,#N/A,#N/A,#N/A,2018-02-05,#N/A,#N/A,0.9870589176,18456.9007833126,0.8831843425,16300.8457829723,EUR,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
EqPut_SP5,ScriptedTrade,1,1,2018-02-05,OptionFlow,-2930346.3989,USD,#N/A,#N/A,#N/A,#N/A,#N/A,2018-02-05,#N/A,#N/A,0.9870589176,-2892424.5447499589,0.8831843425,-2554544.0697975415,EUR,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
