#datumDate,datumId,datumValue
2016-02-05,CAPFLOOR/RATE_NVOL/EUR/10Y/6M/0/0/-0.01,0.0058779000
2016-02-05,CAPFLOOR/RATE_NVOL/EUR/10Y/6M/0/0/0,0.0059103000
2016-02-05,CAPFLOOR/RATE_NVOL/EUR/10Y/6M/0/0/0.01,0.0063954000
2016-02-05,CAPFLOOR/RATE_NVOL/EUR/10Y/6M/0/0/0.02,0.0070821000
2016-02-05,CAPFLOOR/RATE_NVOL/EUR/10Y/6M/0/0/0.03,0.0077670000
2016-02-05,CAPFLOOR/RATE_NVOL/EUR/10Y/6M/0/0/0.04,0.0084771000
2016-02-05,CAPFLOOR/RATE_NVOL/EUR/10Y/6M/0/0/0.05,0.0092304000
2016-02-05,CAPFLOOR/RATE_NVOL/EUR/10Y/6M/0/0/0.06,0.0101088000
2016-02-05,CAPFLOOR/RATE_NVOL/EUR/10Y/6M/0/0/0.07,0.0110412000
2016-02-05,CAPFLOOR/RATE_NVOL/EUR/10Y/6M/0/0/0.08,0.0121104000
2016-02-05,CAPFLOOR/RATE_NVOL/EUR/10Y/6M/0/0/0.09,0.0131400000
2016-02-05,CAPFLOOR/RATE_NVOL/EUR/10Y/6M/0/0/0.1,0.0141327000
2016-02-05,CAPFLOOR/RATE_NVOL/EUR/15Y/6M/0/0/-0.01,0.0058392900
2016-02-05,CAPFLOOR/RATE_NVOL/EUR/15Y/6M/0/0/0,0.0061516800
2016-02-05,CAPFLOOR/RATE_NVOL/EUR/15Y/6M/0/0/0.01,0.0063821900
2016-02-05,CAPFLOOR/RATE_NVOL/EUR/15Y/6M/0/0/0.02,0.0068325300
2016-02-05,CAPFLOOR/RATE_NVOL/EUR/15Y/6M/0/0/0.03,0.0072721900
2016-02-05,CAPFLOOR/RATE_NVOL/EUR/15Y/6M/0/0/0.04,0.0077038400
2016-02-05,CAPFLOOR/RATE_NVOL/EUR/15Y/6M/0/0/0.05,0.0081301500
2016-02-05,CAPFLOOR/RATE_NVOL/EUR/15Y/6M/0/0/0.06,0.0088074400
2016-02-05,CAPFLOOR/RATE_NVOL/EUR/15Y/6M/0/0/0.07,0.0094473500
2016-02-05,CAPFLOOR/RATE_NVOL/EUR/15Y/6M/0/0/0.08,0.0102536900
2016-02-05,CAPFLOOR/RATE_NVOL/EUR/15Y/6M/0/0/0.09,0.0110716000
2016-02-05,CAPFLOOR/RATE_NVOL/EUR/15Y/6M/0/0/0.1,0.0118939600
