#TradeId,Type,CashflowNo,LegNo,PayDate,FlowType,Amount,Currency,Coupon,Accrual,AccrualStartDate,AccrualEndDate,AccruedAmount,fixingDate,fixingValue,Notional,DiscountFactor,PresentValue,FXRate(Local-Base),PresentValue(Base),BaseCurrency,FloorStrike,CapStrike,FloorVolatility,CapVolatility,EffectiveFloorVolatility,EffectiveCapVolatility
Swap_1,Swap,22,0,2016-03-07,Interest,#N/A,GBP,0.0180000000,0.4986301370,2015-09-07,2016-03-07,-297863.0137,#N/A,#N/A,40000000.0000,0.9993815719,#N/A,1.2316211336,419098929522363573561551140306372526080.0000000000,EUR,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Swap_1,Swap,23,0,2016-09-05,Interest,#N/A,GBP,0.0180000000,0.4986301370,2016-03-07,2016-09-05,0.0000,#N/A,#N/A,40000000.0000,0.9959461646,#N/A,1.2316211336,419098929522363573561551140306372526080.0000000000,EUR,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Swap_1,Swap,24,0,2017-03-06,Interest,#N/A,GBP,0.0180000000,0.4986301370,2016-09-05,2017-03-06,0.0000,#N/A,#N/A,40000000.0000,0.9931583471,#N/A,1.2316211336,419098929522363573561551140306372526080.0000000000,EUR,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Swap_1,Swap,25,0,2017-09-05,Interest,#N/A,GBP,0.0180000000,0.5013698630,2017-03-06,2017-09-05,0.0000,#N/A,#N/A,40000000.0000,0.9938697201,#N/A,1.2316211336,419098929522363573561551140306372526080.0000000000,EUR,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Swap_1,Swap,26,0,2018-03-05,Interest,#N/A,GBP,0.0180000000,0.4958904110,2017-09-05,2018-03-05,0.0000,#N/A,#N/A,40000000.0000,0.9942716805,#N/A,1.2316211336,419098929522363573561551140306372526080.0000000000,EUR,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Swap_1,Swap,27,0,2018-09-05,Interest,#N/A,GBP,0.0180000000,0.5041095890,2018-03-05,2018-09-05,0.0000,#N/A,#N/A,40000000.0000,0.9926727243,#N/A,1.2316211336,419098929522363573561551140306372526080.0000000000,EUR,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Swap_1,Swap,28,0,2019-03-05,Interest,#N/A,GBP,0.0180000000,0.4958904110,2018-09-05,2019-03-05,0.0000,#N/A,#N/A,40000000.0000,0.9910326649,#N/A,1.2316211336,419098929522363573561551140306372526080.0000000000,EUR,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Swap_1,Swap,29,0,2019-09-05,Interest,#N/A,GBP,0.0180000000,0.5041095890,2019-03-05,2019-09-05,0.0000,#N/A,#N/A,40000000.0000,0.9888572514,#N/A,1.2316211336,419098929522363573561551140306372526080.0000000000,EUR,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Swap_1,Swap,30,0,2020-03-05,Interest,#N/A,GBP,0.0180000000,0.4986301370,2019-09-05,2020-03-05,0.0000,#N/A,#N/A,40000000.0000,0.9865639856,#N/A,1.2316211336,419098929522363573561551140306372526080.0000000000,EUR,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Swap_1,Swap,31,0,2020-09-07,Interest,#N/A,GBP,0.0180000000,0.5095890411,2020-03-05,2020-09-07,0.0000,#N/A,#N/A,40000000.0000,0.9832450981,#N/A,1.2316211336,419098929522363573561551140306372526080.0000000000,EUR,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Swap_1,Swap,32,0,2021-03-05,Interest,#N/A,GBP,0.0180000000,0.4904109589,2020-09-07,2021-03-05,0.0000,#N/A,#N/A,40000000.0000,0.9797770990,#N/A,1.2316211336,419098929522363573561551140306372526080.0000000000,EUR,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Swap_1,Swap,33,0,2021-09-06,Interest,#N/A,GBP,0.0180000000,0.5068493151,2021-03-05,2021-09-06,0.0000,#N/A,#N/A,40000000.0000,0.9743153602,#N/A,1.2316211336,419098929522363573561551140306372526080.0000000000,EUR,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Swap_1,Swap,34,0,2022-03-07,Interest,#N/A,GBP,0.0180000000,0.4986301370,2021-09-06,2022-03-07,0.0000,#N/A,#N/A,40000000.0000,0.9689719007,#N/A,1.2316211336,419098929522363573561551140306372526080.0000000000,EUR,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Swap_1,Swap,35,0,2022-09-05,Interest,#N/A,GBP,0.0180000000,0.4986301370,2022-03-07,2022-09-05,0.0000,#N/A,#N/A,40000000.0000,0.9636577464,#N/A,1.2316211336,419098929522363573561551140306372526080.0000000000,EUR,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Swap_1,Swap,36,0,2023-03-06,Interest,#N/A,GBP,0.0180000000,0.4986301370,2022-09-05,2023-03-06,0.0000,#N/A,#N/A,40000000.0000,0.9579808550,#N/A,1.2316211336,419098929522363573561551140306372526080.0000000000,EUR,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Swap_1,Swap,37,0,2023-09-05,Interest,#N/A,GBP,0.0180000000,0.5013698630,2023-03-06,2023-09-05,0.0000,#N/A,#N/A,40000000.0000,0.9498502840,#N/A,1.2316211336,419098929522363573561551140306372526080.0000000000,EUR,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Swap_1,Swap,38,0,2024-03-05,Interest,#N/A,GBP,0.0180000000,0.4986301370,2023-09-05,2024-03-05,0.0000,#N/A,#N/A,40000000.0000,0.9418325847,#N/A,1.2316211336,419098929522363573561551140306372526080.0000000000,EUR,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Swap_1,Swap,39,0,2024-09-05,Interest,#N/A,GBP,0.0180000000,0.5041095890,2024-03-05,2024-09-05,0.0000,#N/A,#N/A,40000000.0000,0.9337955738,#N/A,1.2316211336,419098929522363573561551140306372526080.0000000000,EUR,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Swap_1,Swap,40,0,2025-03-05,Interest,#N/A,GBP,0.0180000000,0.4958904110,2024-09-05,2025-03-05,0.0000,#N/A,#N/A,40000000.0000,0.9259565189,#N/A,1.2316211336,419098929522363573561551140306372526080.0000000000,EUR,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
